25558575, satellitedata, ??, 5.5, 25.55, 85.75, 44.0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/1/2009,00:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.3339,?,0,7.16867,?,0,0,?,0,1007.99,?,0,11.0258575883,?,0,2.35354,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,01:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.5872,?,0,7.13078,?,0,0,?,0,1007.81,?,0,5.18511193565,?,0,2.39015,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,02:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.1179,?,0,7.58247,?,0,0,?,0,1007.82,?,0,357.607841948,?,0,2.21405,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,03:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,13.9029,?,0,8.23554,?,0,0,?,0,1007.73,?,0,349.066802644,?,0,1.9672,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,04:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,13.8738,?,0,9.01279,?,0,0,?,0,1008.18,?,0,342.763315885,?,0,1.74993,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,05:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.0422,?,0,9.89598,?,0,0,?,0,1009.07,?,0,342.490038672,?,0,1.52246,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,06:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.4745,?,0,10.1997,?,0,0,?,0,1009.69,?,0,351.977684097,?,0,1.32744,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,07:00,0,0,72.0,?,0,4.0,?,0,71.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.6591,?,0,7.20015,?,0,0,?,0,1010.18,?,0,7.12195488583,?,0,1.18853,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,08:00,0,0,164.0,?,0,14.0,?,0,159.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,18.9483,?,0,6.69349,?,0,0,?,0,1010.97,?,0,15.8726473475,?,0,1.07286,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,09:00,0,0,229.0,?,0,14.0,?,0,222.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,22.939,?,0,6.23109,?,0,0,?,0,1010.84,?,0,8.21899593153,?,0,1.0632,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,10:00,0,0,312.0,?,0,40.0,?,0,288.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.418,?,0,4.87568,?,0,0,?,0,1010.08,?,0,359.086201183,?,0,0.879226,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,11:00,0,0,529.0,?,0,272.0,?,0,350.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,27.799,?,0,4.58942,?,0,0,?,0,1008.68,?,0,359.923925517,?,0,0.86224,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,12:00,0,0,563.0,?,0,397.0,?,0,305.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,28.1764,?,0,4.28184,?,0,0,?,0,1007.59,?,0,4.29843096325,?,0,0.981964,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2009,13:00,0,0,491.0,?,0,370.0,?,0,274.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,27.7685,?,0,3.93131,?,0,0,?,0,1006.89,?,0,7.06136895304,?,0,1.13934,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
